customer_id,purchase_date,purchase_amount,product_category
CUST_00002,2024-08-20,292.51,Enterprise Plan
CUST_00004,2024-06-03,443.36,Pro Plan
CUST_00004,2024-08-04,163.69,Enterprise Plan
CUST_00006,2023-08-03,296.16,Basic Plan
CUST_00007,2023-11-15,414.1,Basic Plan
CUST_00007,2024-01-05,76.0,Enterprise Plan
CUST_00007,2024-03-08,73.4,Enterprise Plan
CUST_00008,2024-10-01,168.52,Pro Plan
CUST_00009,2024-05-22,168.84,Basic Plan
CUST_00010,2023-12-19,63.8,Basic Plan
CUST_00010,2024-04-14,83.42,Enterprise Plan
CUST_00011,2023-11-14,118.36,Enterprise Plan
CUST_00013,2024-03-06,264.07,Enterprise Plan
CUST_00014,2023-11-16,152.92,Enterprise Plan
CUST_00014,2024-02-28,199.27,Enterprise Plan
CUST_00015,2024-07-04,431.5,Basic Plan
CUST_00015,2024-10-02,295.85,Add-ons
CUST_00017,2024-11-02,312.56,Pro Plan
CUST_00018,2023-09-26,220.96,Pro Plan
CUST_00018,2023-12-29,73.41,Enterprise Plan
CUST_00018,2024-03-03,207.68,Basic Plan
CUST_00019,2023-02-20,469.58,Basic Plan
CUST_00019,2023-06-10,48.1,Pro Plan
CUST_00019,2023-08-30,33.41,Enterprise Plan
CUST_00019,2023-11-13,256.64,Add-ons
CUST_00019,2024-02-23,68.3,Add-ons
CUST_00019,2024-05-22,156.11,Enterprise Plan
CUST_00020,2024-03-06,376.64,Basic Plan
CUST_00021,2023-05-23,219.95,Basic Plan
CUST_00021,2023-08-31,226.74,Add-ons
CUST_00022,2024-04-03,125.91,Enterprise Plan
CUST_00024,2023-03-20,224.15,Pro Plan
CUST_00027,2024-04-18,181.86,Enterprise Plan
CUST_00031,2024-07-02,402.26,Enterprise Plan
CUST_00031,2024-08-23,159.68,Enterprise Plan
CUST_00031,2024-10-18,147.66,Pro Plan
CUST_00033,2023-04-26,406.02,Pro Plan
CUST_00034,2024-03-22,476.17,Basic Plan
CUST_00034,2024-05-20,240.47,Pro Plan
CUST_00034,2024-07-24,188.26,Basic Plan
CUST_00034,2024-11-09,226.5,Add-ons
CUST_00036,2024-12-03,416.66,Enterprise Plan
CUST_00037,2023-07-23,115.54,Basic Plan
CUST_00038,2024-12-17,222.62,Pro Plan
CUST_00040,2023-05-10,167.33,Enterprise Plan
CUST_00041,2025-01-08,139.79,Enterprise Plan
CUST_00042,2024-12-22,405.72,Enterprise Plan
CUST_00043,2023-08-10,383.44,Enterprise Plan
CUST_00043,2023-09-21,85.53,Basic Plan
CUST_00044,2024-12-03,425.72,Enterprise Plan
CUST_00045,2024-12-06,294.36,Basic Plan
CUST_00047,2024-11-01,58.56,Pro Plan
CUST_00048,2023-09-30,64.27,Basic Plan
CUST_00048,2023-11-19,77.53,Basic Plan
CUST_00051,2024-02-05,63.29,Basic Plan
CUST_00053,2023-01-20,222.26,Enterprise Plan
CUST_00054,2023-03-20,198.7,Basic Plan
CUST_00055,2023-09-16,349.74,Enterprise Plan
CUST_00056,2024-05-16,204.81,Basic Plan
CUST_00058,2023-04-02,351.49,Enterprise Plan
CUST_00059,2023-07-05,99.77,Basic Plan
CUST_00060,2023-05-09,294.06,Basic Plan
CUST_00061,2023-06-18,295.02,Pro Plan
CUST_00061,2023-09-12,33.75,Enterprise Plan
CUST_00066,2023-10-15,369.23,Enterprise Plan
CUST_00066,2023-12-13,258.65,Enterprise Plan
CUST_00066,2024-01-22,245.34,Pro Plan
CUST_00067,2024-08-08,173.03,Basic Plan
CUST_00068,2024-11-09,227.25,Pro Plan
CUST_00072,2024-08-23,284.51,Enterprise Plan
CUST_00073,2024-10-10,314.73,Enterprise Plan
CUST_00074,2023-12-10,212.9,Pro Plan
CUST_00075,2023-05-25,440.26,Pro Plan
CUST_00075,2023-07-21,224.14,Add-ons
CUST_00076,2024-04-14,473.59,Enterprise Plan
CUST_00076,2024-06-08,77.36,Pro Plan
CUST_00076,2024-08-08,240.44,Basic Plan
CUST_00079,2024-06-08,277.15,Basic Plan
CUST_00080,2024-02-02,125.69,Enterprise Plan
CUST_00081,2023-06-24,212.96,Basic Plan
CUST_00081,2023-10-11,223.5,Pro Plan
CUST_00081,2023-12-04,141.4,Add-ons
CUST_00083,2024-11-28,175.5,Pro Plan
CUST_00084,2023-11-30,430.12,Basic Plan
CUST_00086,2024-07-15,374.04,Basic Plan
CUST_00087,2023-09-18,127.28,Pro Plan
CUST_00088,2023-08-04,389.69,Enterprise Plan
CUST_00088,2023-09-21,274.84,Pro Plan
CUST_00088,2024-01-09,233.45,Add-ons
CUST_00090,2023-02-20,428.92,Basic Plan
CUST_00091,2024-01-08,152.52,Enterprise Plan
CUST_00092,2024-05-31,322.09,Pro Plan
CUST_00094,2024-04-05,224.25,Pro Plan
CUST_00095,2024-02-13,270.35,Pro Plan
CUST_00096,2023-04-23,337.98,Basic Plan
CUST_00097,2024-03-03,445.48,Enterprise Plan
CUST_00097,2024-06-10,111.62,Pro Plan
CUST_00097,2024-09-13,89.77,Pro Plan
CUST_00098,2024-01-19,200.57,Basic Plan
CUST_00099,2024-02-25,62.38,Pro Plan
CUST_00099,2024-04-09,137.04,Enterprise Plan
CUST_00100,2023-12-31,299.58,Pro Plan
CUST_00100,2024-04-12,213.42,Add-ons
CUST_00100,2024-06-09,200.95,Enterprise Plan
CUST_00101,2024-07-23,178.27,Basic Plan
CUST_00102,2024-05-29,250.14,Enterprise Plan
CUST_00102,2024-09-05,229.05,Pro Plan
CUST_00102,2024-10-07,235.83,Basic Plan
CUST_00103,2023-06-30,105.14,Pro Plan
CUST_00103,2023-09-27,97.12,Enterprise Plan
CUST_00104,2023-05-04,404.8,Basic Plan
CUST_00104,2023-07-24,78.64,Pro Plan
CUST_00105,2023-03-11,63.98,Enterprise Plan
CUST_00106,2024-07-05,395.73,Basic Plan
CUST_00107,2023-01-30,257.45,Basic Plan
CUST_00108,2024-03-04,316.49,Pro Plan
CUST_00108,2024-05-21,280.09,Basic Plan
CUST_00111,2024-03-24,445.57,Enterprise Plan
CUST_00112,2023-07-21,212.46,Pro Plan
CUST_00115,2024-11-18,318.3,Basic Plan
CUST_00116,2024-12-08,124.24,Enterprise Plan
CUST_00118,2023-03-12,437.43,Basic Plan
CUST_00120,2023-01-27,282.74,Basic Plan
CUST_00120,2023-04-26,120.32,Enterprise Plan
CUST_00122,2024-12-01,213.06,Pro Plan
CUST_00124,2024-10-15,362.31,Enterprise Plan
CUST_00126,2023-11-21,97.55,Enterprise Plan
CUST_00131,2023-06-13,398.99,Enterprise Plan
CUST_00132,2024-01-15,95.81,Pro Plan
CUST_00132,2024-02-19,204.14,Enterprise Plan
CUST_00132,2024-05-31,156.07,Basic Plan
CUST_00133,2024-05-21,292.52,Basic Plan
CUST_00134,2023-07-03,232.93,Pro Plan
CUST_00134,2023-08-21,84.04,Add-ons
CUST_00136,2024-01-20,367.5,Basic Plan
CUST_00136,2024-02-27,41.26,Pro Plan
CUST_00137,2023-02-01,330.08,Basic Plan
CUST_00137,2023-04-13,75.81,Basic Plan
CUST_00137,2023-07-02,265.89,Add-ons
CUST_00139,2024-10-24,441.42,Pro Plan
CUST_00140,2024-12-20,201.28,Basic Plan
CUST_00141,2023-08-18,251.4,Pro Plan
CUST_00141,2023-11-27,99.41,Add-ons
CUST_00142,2023-05-20,154.71,Pro Plan
CUST_00142,2023-09-06,246.12,Pro Plan
CUST_00144,2024-10-21,165.95,Enterprise Plan
CUST_00145,2023-05-26,102.77,Enterprise Plan
CUST_00146,2023-07-02,95.95,Basic Plan
CUST_00148,2024-04-10,279.02,Enterprise Plan
CUST_00149,2024-08-06,67.95,Enterprise Plan
CUST_00153,2024-09-19,313.48,Enterprise Plan
CUST_00154,2024-03-25,237.74,Enterprise Plan
CUST_00155,2024-03-21,291.89,Pro Plan
CUST_00155,2024-05-01,156.65,Add-ons
CUST_00156,2024-11-27,103.37,Enterprise Plan
CUST_00157,2023-06-16,249.74,Pro Plan
CUST_00157,2023-08-14,32.25,Pro Plan
CUST_00158,2023-07-27,166.03,Basic Plan
CUST_00159,2024-07-08,374.35,Basic Plan
CUST_00161,2024-01-19,61.58,Basic Plan
CUST_00162,2024-07-31,256.63,Pro Plan
CUST_00162,2024-11-20,63.36,Pro Plan
CUST_00163,2024-05-12,259.92,Pro Plan
CUST_00165,2023-06-24,144.01,Basic Plan
CUST_00165,2023-09-06,265.63,Enterprise Plan
