customer_id,touchpoint_date,channel,touchpoint_type,cost
CUST_00001,2023-07-31,Google Ads,content_view,2.5
CUST_00001,2023-05-13,Organic Search,email_open,0.0
CUST_00001,2023-05-15,Email Marketing,content_view,0.1
CUST_00002,2024-06-27,Organic Search,email_open,0.0
CUST_00002,2024-05-31,Google Ads,website_visit,2.5
CUST_00002,2024-06-21,Google Ads,ad_click,2.5
CUST_00003,2024-03-13,Google Ads,website_visit,2.5
CUST_00003,2024-05-16,Facebook Ads,website_visit,1.8
CUST_00003,2024-03-27,Email Marketing,ad_click,0.1
CUST_00003,2024-03-05,Content Marketing,content_view,0.3
CUST_00003,2024-04-19,Organic Search,ad_click,0.0
CUST_00003,2024-05-19,Email Marketing,email_open,0.1
CUST_00003,2024-03-09,LinkedIn Ads,website_visit,4.0
CUST_00003,2024-05-14,Email Marketing,email_open,0.1
CUST_00004,2024-03-31,Facebook Ads,email_open,1.8
CUST_00004,2024-03-14,Email Marketing,content_view,0.1
CUST_00004,2024-04-18,Google Ads,ad_click,2.5
CUST_00004,2024-02-25,Email Marketing,ad_click,0.1
CUST_00004,2024-02-25,Facebook Ads,website_visit,1.8
CUST_00005,2024-11-01,Email Marketing,content_view,0.1
CUST_00005,2024-10-25,Google Ads,website_visit,2.5
CUST_00005,2024-10-23,Google Ads,website_visit,2.5
CUST_00006,2023-07-22,Email Marketing,content_view,0.1
CUST_00006,2023-06-12,Google Ads,email_open,2.5
CUST_00006,2023-05-08,Organic Search,website_visit,0.0
CUST_00006,2023-06-20,Organic Search,content_view,0.0
CUST_00006,2023-06-18,Facebook Ads,email_open,1.8
CUST_00006,2023-06-02,Facebook Ads,content_view,1.8
CUST_00006,2023-07-07,Content Marketing,website_visit,0.3
CUST_00006,2023-07-19,Facebook Ads,email_open,1.8
CUST_00007,2023-09-08,Content Marketing,content_view,0.3
CUST_00007,2023-09-15,Email Marketing,email_open,0.1
CUST_00007,2023-09-22,Facebook Ads,content_view,1.8
CUST_00007,2023-08-16,Email Marketing,email_open,0.1
CUST_00007,2023-10-15,Facebook Ads,website_visit,1.8
CUST_00007,2023-09-14,Facebook Ads,content_view,1.8
CUST_00008,2024-08-18,Organic Search,ad_click,0.0
CUST_00008,2024-09-15,Facebook Ads,content_view,1.8
CUST_00008,2024-07-13,Facebook Ads,email_open,1.8
CUST_00008,2024-08-08,LinkedIn Ads,ad_click,4.0
CUST_00008,2024-09-09,Google Ads,email_open,2.5
CUST_00008,2024-08-01,Organic Search,email_open,0.0
CUST_00009,2024-02-27,Organic Search,email_open,0.0
CUST_00009,2024-05-13,Organic Search,ad_click,0.0
CUST_00009,2024-02-29,Google Ads,website_visit,2.5
CUST_00009,2024-03-07,Content Marketing,website_visit,0.3
