customer_id,customer_segment,age_group,location,purchase_frequency,total_spent,avg_order_value,first_purchase,last_purchase,clv_segment
CUST_00001,Enterprise,36-45,APAC,5,913.71,182.74200000000002,2023-11-03,2024-12-20,High Value
CUST_00002,Enterprise,36-45,LATAM,0,0.0,0.0,,,No Purchase
CUST_00003,Startup,26-35,APAC,2,631.79,315.895,2024-09-18,2024-11-24,High Value
CUST_00004,Startup,18-25,APAC,1,72.83,72.83,2023-11-06,2023-11-06,Low Value
CUST_00005,Startup,55+,APAC,1,412.61,412.61,2023-01-23,2023-01-23,High Value
CUST_00006,Startup,26-35,LATAM,1,374.07,374.07,2023-07-05,2023-07-05,High Value
CUST_00007,Startup,18-25,US,1,236.31,236.31,2023-03-11,2023-03-11,Medium Value
CUST_00008,SMB,18-25,US,1,298.79,298.79,2024-10-12,2024-10-12,Medium Value
CUST_00009,SMB,46-55,LATAM,0,0.0,0.0,,,No Purchase
CUST_00010,Startup,18-25,APAC,1,89.18,89.18,2025-01-01,2025-01-01,Low Value
CUST_00011,Enterprise,55+,APAC,1,426.2,426.2,2024-02-27,2024-02-27,High Value
CUST_00012,Enterprise,55+,LATAM,0,0.0,0.0,,,No Purchase
CUST_00013,Enterprise,36-45,APAC,0,0.0,0.0,,,No Purchase
CUST_00014,SMB,46-55,APAC,1,215.57,215.57,2024-03-16,2024-03-16,Medium Value
CUST_00015,Startup,46-55,US,2,236.04,118.02,2024-04-23,2024-06-22,Medium Value
CUST_00016,SMB,36-45,LATAM,1,291.19,291.19,2024-05-30,2024-05-30,Medium Value
CUST_00017,SMB,36-45,EU,1,291.02,291.02,2024-07-27,2024-07-27,Medium Value
CUST_00018,SMB,36-45,EU,0,0.0,0.0,,,No Purchase
CUST_00019,SMB,36-45,APAC,3,738.01,246.00333333333333,2023-04-27,2023-11-18,High Value
CUST_00020,SMB,26-35,LATAM,2,184.45,92.225,2023-09-02,2023-11-30,Medium Value
CUST_00021,SMB,55+,LATAM,0,0.0,0.0,,,No Purchase
CUST_00022,SMB,55+,EU,1,440.02,440.02,2024-11-27,2024-11-27,High Value
CUST_00023,SMB,26-35,APAC,2,312.68,156.34,2024-03-29,2024-05-16,High Value
CUST_00024,Startup,46-55,US,1,192.46,192.46,2024-11-12,2024-11-12,Medium Value
CUST_00025,Enterprise,26-35,EU,1,484.42,484.42,2024-06-01,2024-06-01,High Value
CUST_00026,Startup,26-35,LATAM,2,458.71000000000004,229.35500000000002,2023-06-27,2023-09-10,High Value
CUST_00027,Enterprise,55+,EU,1,51.45,51.45,2024-10-11,2024-10-11,Low Value
CUST_00028,Startup,46-55,LATAM,1,445.79,445.79,2024-06-10,2024-06-10,High Value
CUST_00029,Enterprise,55+,US,1,220.99,220.99,2024-03-08,2024-03-08,Medium Value
CUST_00030,Enterprise,36-45,APAC,2,181.72,90.86,2023-07-23,2023-10-06,Medium Value
CUST_00031,SMB,36-45,US,5,683.5699999999999,136.714,2023-11-15,2024-07-18,High Value
CUST_00032,Startup,46-55,EU,0,0.0,0.0,,,No Purchase
CUST_00033,Enterprise,55+,LATAM,0,0.0,0.0,,,No Purchase
CUST_00034,Enterprise,46-55,US,1,420.22,420.22,2024-12-10,2024-12-10,High Value
CUST_00035,SMB,55+,APAC,3,606.27,202.09,2024-04-10,2024-10-12,High Value
CUST_00036,Startup,55+,LATAM,0,0.0,0.0,,,No Purchase
CUST_00037,SMB,36-45,EU,0,0.0,0.0,,,No Purchase
