customer_id,signup_date,age_group,location,customer_segment
CUST_00001,2023-08-06,46-55,APAC,Startup
CUST_00002,2024-08-16,36-45,EU,SMB
CUST_00003,2024-05-26,36-45,LATAM,Startup
CUST_00004,2024-05-23,46-55,APAC,SMB
CUST_00005,2024-11-27,18-25,APAC,Enterprise
CUST_00006,2023-07-27,46-55,APAC,Enterprise
CUST_00007,2023-11-10,55+,LATAM,Startup
CUST_00008,2024-09-26,18-25,APAC,SMB
CUST_00009,2024-05-14,55+,US,Startup
CUST_00010,2023-11-21,26-35,US,Enterprise
CUST_00011,2023-11-06,36-45,US,Startup
CUST_00012,2023-08-10,36-45,EU,SMB
CUST_00013,2024-02-12,55+,US,Startup
CUST_00014,2023-10-31,26-35,APAC,Enterprise
CUST_00015,2024-06-10,36-45,APAC,SMB
CUST_00016,2024-10-12,36-45,US,Startup
CUST_00017,2024-10-27,18-25,EU,Enterprise
CUST_00018,2023-09-16,46-55,US,SMB
CUST_00019,2023-01-26,36-45,APAC,SMB
CUST_00020,2024-02-13,55+,EU,Enterprise
CUST_00021,2023-04-28,55+,US,Startup
CUST_00022,2024-03-20,55+,APAC,Startup
CUST_00023,2023-08-18,26-35,US,SMB
CUST_00024,2023-03-13,18-25,LATAM,SMB
CUST_00025,2023-10-13,26-35,LATAM,Startup
CUST_00026,2024-01-07,26-35,APAC,SMB
CUST_00027,2024-03-30,55+,US,SMB
CUST_00028,2024-07-03,46-55,APAC,Startup
CUST_00029,2024-07-04,18-25,US,Enterprise
CUST_00030,2023-09-08,36-45,LATAM,Enterprise
CUST_00031,2024-06-23,55+,APAC,SMB
CUST_00032,2024-06-13,46-55,EU,Enterprise
CUST_00033,2023-04-21,46-55,US,SMB
CUST_00034,2024-03-17,18-25,LATAM,Enterprise
CUST_00035,2023-12-16,26-35,EU,SMB
CUST_00036,2024-11-26,55+,LATAM,SMB
CUST_00037,2023-07-20,36-45,APAC,SMB
CUST_00038,2024-12-14,46-55,EU,Startup
CUST_00039,2024-02-22,18-25,APAC,Startup
CUST_00040,2023-04-11,55+,LATAM,SMB
CUST_00041,2024-12-20,55+,LATAM,SMB
CUST_00042,2024-12-21,26-35,LATAM,Startup
CUST_00043,2023-07-23,46-55,APAC,Startup
CUST_00044,2024-11-19,55+,LATAM,Startup
CUST_00045,2024-11-14,26-35,APAC,SMB
CUST_00046,2024-09-26,18-25,EU,Startup
CUST_00047,2024-10-21,26-35,LATAM,SMB
CUST_00048,2023-09-07,46-55,US,SMB
CUST_00049,2024-07-23,26-35,APAC,Enterprise
CUST_00050,2023-01-20,26-35,EU,SMB
CUST_00051,2024-01-21,55+,LATAM,Startup
CUST_00052,2024-01-30,18-25,APAC,SMB
CUST_00053,2023-01-04,46-55,US,Enterprise
CUST_00054,2023-03-04,18-25,APAC,SMB
CUST_00055,2023-09-10,46-55,EU,Startup
CUST_00056,2024-04-27,55+,EU,Enterprise
CUST_00057,2024-07-16,46-55,EU,Enterprise
CUST_00058,2023-03-21,18-25,APAC,Startup
CUST_00059,2023-06-13,55+,EU,Enterprise
CUST_00060,2023-05-03,46-55,LATAM,SMB
CUST_00061,2023-05-21,36-45,US,SMB
CUST_00062,2023-01-03,55+,EU,SMB
CUST_00063,2023-10-31,55+,APAC,Enterprise
CUST_00064,2023-07-17,55+,APAC,Startup
CUST_00065,2023-03-30,46-55,EU,SMB
CUST_00066,2023-10-04,55+,EU,Startup
CUST_00067,2024-07-14,26-35,LATAM,SMB
CUST_00068,2024-10-28,36-45,LATAM,Enterprise
CUST_00069,2023-10-01,36-45,LATAM,Enterprise
CUST_00070,2024-04-03,55+,APAC,SMB
CUST_00071,2023-01-06,55+,EU,Enterprise
CUST_00072,2024-07-24,36-45,EU,Enterprise
CUST_00073,2024-10-04,36-45,APAC,Enterprise
CUST_00074,2023-11-12,55+,APAC,Startup
CUST_00075,2023-04-26,26-35,APAC,SMB
CUST_00076,2024-04-10,55+,US,Startup
CUST_00077,2024-04-05,26-35,EU,Startup
CUST_00078,2024-01-22,55+,EU,Startup
CUST_00079,2024-06-05,55+,EU,Startup
CUST_00080,2024-01-26,36-45,LATAM,Enterprise
CUST_00081,2023-06-09,55+,LATAM,SMB
CUST_00082,2024-07-06,36-45,APAC,Enterprise
